tiporesiduo;bairro;endereco;complemento;observacao;latitude;longitude
Materiais Recicláveis;São José;Avenida Sul;s/n;Cooperativa;-8.075631;-34.891624
Materiais Recicláveis;Dois Unidos;Av. Chagas Ferreira;601;Cooperativa;-8.005045;-34.912247
Materiais Recicláveis;Torre;Rua Eliezer Olímpio de Moura;100;Cooperativa;-8.044426;-34.91299
Materiais Recicláveis;São José;Travessa do Gusmão;178;Cooperativa;-8.071821;-34.886728
Materiais Recicláveis;Guabiraba;Av. Padre Mosca de Carvalho;s/n;Cooperativa;-7.964258;-34.9246
Materiais Recicláveis;Arruda;Avenida Professor José dos Anjos;s/n;Cooperativa;-8.020267;-34.874597
Materiais Recicláveis;São José;Rua Pacatuba;s/n;Cooperativa;-8.076567;-34.897539
Materiais Recicláveis;São José;Rua Oscar de Melo;s/n;Cooperativa;-8.077965;-34.899157
Materiais Recicláveis;Imbiribeira;R. Antônio Cardoso da Fonte;483;Cooperativa;-8.097676;-34.919589
Materiais Recicláveis;Ibura;Rua Rio Uma;150;Cooperativa;-8.114698;-34.931643
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Arruda;Av. Prof. José dos Anjos;;Ecoestação Arruda;-8.020158;-34.874417
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Campo Grande;Av. Agamenon Magalhães com Rua Odorico Mendes;;Ecoestação Campo Grande;-8.039289;-34.878378
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Cohab;Av. Rio Largo com Avenida Santos;;Ecoestação Cohab;-8.115278;-34.953455
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ibura;Rua Rio Tapado;;Ecoestação Ibura;-8.116757;-34.943218
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Imbiribeira;Av. Mascarenhas de Morais;;Ecoestação Imbiribeira;-8.123213;-34.914702
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Torre;Rua Ciclovia República da Argélia;;Ecoestação Torre;-8.044172;-34.916232
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Torrões;Rua Maestro Jones Johnsson;;Ecoestação Torrões;-8.057741;-34.935627
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Totó;Rua Onze de Agosto;;Ecoestação Totó;-8.077674;-34.971714
